v1,v2
ham,I'm going to be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free!
spam,SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day 6days.
ham,I've been searching for the right words to thank you for this breather. I promise i won't take your help for granted.
spam,URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!
ham,I'm gonna be at home soon and i don't want to talk about this stuff anymore tonight
spam,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW.
ham,You are a great friend. I'll reach you soon.
spam,As a valued customer, I am pleased to advise you that following recent review you are awarded with a £1500 Bonus!
